id,group,cycle,type,title,trigger,owner,documents,evidence,legal,source,sourceUrl,priority,actions
daily-tbm,매일,daily,정기,작업 전 TBM 실시 및 전달사항 기록,매일 작업 전,안전관리자/관리감독자,TBM 일지 | 참석자 서명 | 위험요인 전달사항 | 사진,서명 | 사진,위험성평가·TBM 실무관리,MOEL/KOSHA 위험성평가·TBM 안내,https://www.moel.go.kr/,high,금일 일정·날씨·고위험작업 공유 | 작업반별 위험요인과 대책 확인 | 신규근로자·협력업체 전달 여부 확인
daily-patrol,매일,daily,정기,현장 순회점검 및 즉시 시정조치,오전/오후 1회 이상,안전관리자,순회점검일지 | 지적사항 관리대장 | 전·후 사진,사진 | 조치확인,산업안전보건법 안전관리자 업무/사업주 조치,산업안전보건법,https://www.law.go.kr/,high,추락·낙하·협착·전도 위험 확인 | 개구부·단부·통로·가설전기 확인 | 시정조치 담당자와 완료시간 지정
daily-ppe,매일,daily,정기,보호구 착용 및 출입통제 확인,작업 시작 전/수시,안전관리자/관리감독자,보호구 점검사진 | 출입통제 사진 | 방문자 교육대장,사진,산업안전보건기준에 관한 규칙,법제처 국가법령정보센터,https://www.law.go.kr/,normal,안전모·안전화·안전대 착용 확인 | 타설·양중·하역 반경 출입통제 | 외부 방문자 안전교육 확인
daily-weather,매일,daily,정기,강우·풍속·폭염/한랭 작업중지 기준 확인,작업 전 및 기상 변화 시,안전관리자/공사관리자,기상확인 캡처 | 작업조정 기록 | 휴식·음수 관리사진,캡처 | 사진,산업안전보건기준에 관한 규칙/온열질환 예방 가이드,MOEL/KOSHA,https://www.kosha.or.kr/,high,강수 피크 시간 확인 | 풍속 상승 시 양중·고소작업 재검토 | 폭염 시 물·그늘·휴식·체온관리 확인
daily-access,매일,daily,정기,출입자·신규투입자 확인,매일 출근/신규 투입 시,안전관리자,출입자 명부 | 신규자 확인표 | 기초안전보건교육 이수증,명부 | 이수증,산업안전보건법 안전보건교육,KOSHA 안전보건교육,https://portal.kosha.or.kr/archive/laws/key-content/occupational-safety-health/education-safety-health,high,신규자 여부 확인 | 기초안전보건교육 이수증 확인 | 현장 출입 전 기본수칙 전달
weekly-risk,주 1회,weekly,정기,위험성평가 이행상태 및 개선조치 점검,매주 월요일 권장,안전관리자/원·하청,주간 위험성평가 이행점검표 | 개선조치 대장 | 회의록,조치사진,사업장 위험성평가에 관한 지침/상시평가,MOEL 위험성평가 안내,https://www.moel.go.kr/,high,금주 주요 공종 위험성평가 확인 | 근로자 참여·공유 여부 확인 | 미조치 위험요인 개선기한 재설정
weekly-equipment,주 1회,weekly,정기,장비·가설재·안전시설 주간 점검,매주 1회,안전관리자/장비관리자,장비 점검표 | 가설시설 점검표 | 안전시설 점검사진,점검표 | 사진,산업안전보건기준에 관한 규칙,법제처 국가법령정보센터,https://www.law.go.kr/,normal,크레인·펌프카·고소작업대 점검표 확인 | 비계·동바리·작업발판 상태 확인 | 소화기·분전반·임시전기 상태 확인
weekly-contractor,주 1회,weekly,실무,협력업체 안전회의 및 지적사항 공유,주 1회 권장,안전관리자/공사관리자,협력업체 안전회의록 | 지시사항 이행대장,회의록 | 사진,도급사업 안전보건관리 실무,MOEL/KOSHA 건설업 안전보건 자료,https://www.moel.go.kr/,normal,협력업체별 위험공종 확인 | 반복 지적사항 공유 | 다음 회의 전 조치기한 지정
biweekly-inspection,2주 1회,biweekly,실무,협력업체 합동 안전점검 및 지적사항 회의,격주 1회,안전관리자/공사관리자,합동점검표 | 참석자 명부 | 조치결과 사진,서명 | 사진,도급인 합동점검 실무,MOEL/KOSHA,https://www.kosha.or.kr/,normal,협력업체별 지적사항 확인 | 반복 지적 항목 원인 분석 | 다음 점검 전 완료목표 등록
biweekly-highrisk,2주 1회,biweekly,실무,고위험작업 특별교육·작업계획서 재확인,격주 또는 고위험작업 전,안전관리자,특별교육 일지 | 작업계획서 | 작업허가서,서명 | 교육사진,산업안전보건법 안전보건교육/특별교육,KOSHA 안전보건교육,https://portal.kosha.or.kr/archive/laws/key-content/occupational-safety-health/education-safety-health,high,타설·양중·비계·굴착 등 작업계획서 확인 | 신호수·유도자·작업반장 역할 재확인 | 교육 참석자 기록 정리
twice-monthly-doc,월 2회,twiceMonthly,실무,안전보건 서류·교육·점검 기록 정리,매월 1일/15일 권장,안전관리자,서류 누락 점검표 | 교육대장 | 점검대장 | 사진철,서류철 | 사진,점검기관 실무 대응,MOEL/KOSHA 점검 실무,https://www.moel.go.kr/,normal,TBM·교육·순회점검 기록 누락 확인 | 위험성평가 개선조치 증빙 첨부 | 외부점검 대비 필수서류 폴더 정리
twice-monthly-emergency,월 2회,twiceMonthly,실무,비상대응·응급·화재 예방 상태 점검,매월 1일/15일 권장,안전관리자,비상연락망 | 응급함 점검표 | 소화기 점검사진,사진,산업안전보건기준/소방 실무,법제처/MOEL/KOSHA,https://www.law.go.kr/,normal,비상연락망·응급함·AED 위치 확인 | 용접·절단 화기작업 관리상태 확인 | 소화기·피난통로·집결지 안내 확인
monthly-education,월 1회,monthly,정기,근로자 정기안전보건교육 운영/기록,월 1회 운영 권장,안전관리자/관리감독자,정기교육일지 | 교육자료 | 참석자 서명부 | 사진,서명 | 사진,산업안전보건법 제29조/시행규칙 별표4·5,KOSHA 안전보건교육,https://portal.kosha.or.kr/archive/laws/key-content/occupational-safety-health/education-safety-health,high,교육대상자 명단 확인 | 교육자료 준비 | 불참자 보충교육 계획 수립
monthly-risk,월 1회,monthly,정기,월간 위험성평가 및 개선대책 정리,월 1회 이상 권장,안전관리자/관리감독자,월간 위험성평가표 | 개선대책 대장 | 근로자 의견수렴 자료,회의록 | 사진,사업장 위험성평가에 관한 지침,MOEL 위험성평가 안내,https://www.moel.go.kr/,high,월간 주요 공정 위험요인 재파악 | 개선대책 수립 및 담당자 지정 | TBM 공유 자료로 전환
monthly-safety-cost,월 1회,monthly,정기,산업안전보건관리비 사용내역 정리,월 1회,안전관리자/관리팀,산업안전보건관리비 사용내역서 | 세금계산서 | 구매품 사진,영수증 | 사진,건설업 산업안전보건관리비 계상 및 사용기준,MOEL,https://www.moel.go.kr/,normal,항목별 사용 가능 여부 확인 | 증빙 누락 여부 확인 | 월말 보고자료 정리
monthly-msds,월 1회,monthly,정기,MSDS 목록·비치·교육상태 확인,월 1회 및 신규 물질 반입 시,안전관리자/자재관리자,MSDS 목록 | 비치사진 | 교육일지,사진 | 서명,산업안전보건법 물질안전보건자료,MOEL/KOSHA MSDS,https://msds.kosha.or.kr/,normal,신규 화학물질 반입 여부 확인 | MSDS 비치 위치 사진 정리 | 취급자 교육 여부 확인
monthly-equipment-cert,월 1회,monthly,실무,장비 검사증·보험·자격증 유효기간 확인,월 1회,안전관리자/장비관리자,장비대장 | 검사증 | 보험증권 | 운전원 자격증,사본,건설기계/산업안전보건 실무,점검기관 실무 체크,https://www.kosha.or.kr/,normal,만료 예정 장비 확인 | 운전원 자격 확인 | 장비별 일상점검표 누락 확인
bimonthly-labor-management,2개월 1회,bimonthly,법정대상,노사협의체 회의록 작성·보존,대상 건설공사 2개월마다,안전관리자/현장대리인,노사협의체 회의록 | 참석자 명부 | 심의·의결사항 이행대장,서명 | 회의록,산업안전보건법 노사협의체,산업안전보건법/시행령,https://www.law.go.kr/,high,회의 안건 준비 | 근로자·사용자위원 참석 확인 | 의결사항 이행 여부 기록
quarter-osh-committee,분기 1회,quarterly,법정대상,산업안전보건위원회 회의 운영,대상 사업장 분기 1회,안전관리자/안전보건관리책임자,산업안전보건위원회 회의록 | 안건자료 | 조치결과,회의록 | 서명,산업안전보건법 산업안전보건위원회,산업안전보건법,https://www.law.go.kr/,normal,분기 안건 취합 | 회의록 작성·보존 | 의결사항 조치결과 추적
half-major-law,반기 1회,halfYear,법정대상,안전·보건 관계 법령 의무이행 점검,반기 1회 이상,경영책임자/안전보건관리책임자/안전관리자,반기 의무이행 점검표 | 미이행 조치계획 | 보고서,보고서 | 조치사진,중대재해처벌법 시행령 제4조,법제처 중대재해처벌법 시행령,https://www.law.go.kr/LSW/lsInfoP.do?lsId=014159,high,안전보건 관계 법령 이행 여부 점검 | 미이행 항목 조치계획 수립 | 경영책임자 보고자료 정리
annual-plan,연 1회,yearly,정기,연간 안전보건계획 및 교육계획 수립,연초/착공 초기,안전보건관리책임자/안전관리자,연간 안전보건계획서 | 연간 교육계획표 | 월별 중점관리계획,계획서,안전보건관리체계 구축 실무,MOEL/KOSHA 안전보건관리체계 자료,https://www.moel.go.kr/,high,연간 주요 공정과 위험작업 배치 | 교육·점검·훈련 주기표 확정 | 관리자별 담당업무 배분
annual-manager-training,연 1회,yearly,정기,관리감독자 정기교육 이수 확인,연 1회,안전관리자/관리감독자,관리감독자 교육 이수증 | 교육대장,이수증,산업안전보건법 안전보건교육,KOSHA 안전보건교육,https://portal.kosha.or.kr/archive/laws/key-content/occupational-safety-health/education-safety-health,normal,관리감독자 명단 확인 | 이수증 누락자 확인 | 보수교육 일정 등록
annual-emergency-drill,연 1회,yearly,실무,비상대응·대피훈련 실시/결과보고,연 1회 이상 권장 또는 현장계획 기준,안전관리자,훈련계획서 | 훈련사진 | 결과보고서 | 개선사항,사진 | 보고서,비상대응체계 구축 실무,MOEL/KOSHA 안전보건관리체계,https://www.kosha.or.kr/,normal,훈련 시나리오 작성 | 대피동선·집결지 확인 | 훈련 후 개선사항 등록
event-new-worker,발생 시,event,법정,신규채용자 안전보건교육,신규자 투입 전/채용 시,안전관리자/관리감독자,신규채용자 교육일지 | 서명부 | 교육자료 | 사진,서명 | 사진,산업안전보건법 제29조/시행규칙 별표4·5,KOSHA 안전보건교육,https://portal.kosha.or.kr/archive/laws/key-content/occupational-safety-health/education-safety-health,high,신규자 명단 확인 | 현장 기본수칙 교육 | 출입 전 이수증·교육일지 저장
